Problem Name	1	2	3	4	5	6	7	8	9	10	11
%(row2_2.multiplierDivisorTickets1-Hint2)%	You can use division to help you find the multiplier. The answer to 60/20 will be the multiplier.	You can use multiplication to help you find the divisor. What can you multiply by 3 to get 12?	You can use multiplication to help you find the divisor. What can you multiply by 2 to get 10?	You can use division to help you find the multiplier. The answer to 60/15 will be the multiplier.	You can use multiplication to help you find the divisor. What can you multiply by 12 to get 60?	You can use division to help you find the multiplier. The answer to 24/6 will be the multiplier.	You can use multiplication to help you find the divisor. What can you multiply by 8 to get 16?	You can use multiplication to help you find the divisor. What can you multiply by 12 to get 36?	You can use multiplication to help you find the divisor. What can you multiply by 15 to get 45?	You can use division to help you find the multiplier. The answer to 48/16 will be the multiplier.	You can use division to help you find the multiplier. The answer to 80/40 will be the multiplier.
%(row2_2.multiplierDivisorTickets1-Hint3)%	60/20 = 3, so 20*3 = 60. Your multiplier will therefore be 3.	3*4 =12, so 12/4 = 3. Your divisor will therefore be 4.	2*5=10, so 10/5 = 2. Your divisor will therefore be 5.	60/15=4, so 15*4 = 60. Your multiplier will therefore be 4.	12*5=60, so 60/5 = 12. Your divisor will therefore be 5.	24/6 = 4, so 6*4 = 24. Your multiplier will therefore be 4.	8*2=16, so 16/2 = 8. Your divisor will therefore be 2.	12*3=36, so 36/3 = 12. Your divisor will therefore be 3.	15*3 = 45, so 45/3 = 15. Your divisor will therefore be 3.	48/16 = 3, so 16*3 = 48. Your multiplier will therefore be 3.	80/40 = 2, so 40*2 = 80. Your multiplier will therefore be 2.
%(row2_2.multiplierDivisorTickets1-Hint4)%	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.
%(row2_2.multiplierDivisorTickets1-BugMsg)%	20*<%=input%> does not equal 60	12/<%=input%> does not equal 3	10/<%=input%> does not equal 2	15*<%=input%> does not equal 60	60/<%=input%> does not equal 12	6*<%=input%> does not equal 24	16/<%=input%> does not equal 8	36/<%=input%> does not equal 12	45/<%=input%> does not equal 15	16*<%=input%> does not equal 48	40*<%=input%> does not equal 80
%(row2_2.operationCost1-RValue)%	*	/	/	*	/	*	/	/	/	*	*
%(row2_2.operationCost1-Hint1)%	To keep the problem the same, the operator must be the same for the number of tickets you buy and the cost of the tickets. Did you use multiplication or division to find the new number of tickets (60)?	To keep the problem the same, the operator must be the same for the number of months and the cost of the service. Do you use multiplication or division to find the new number of months (3)?	To keep the problem the same, the operator must be the same for the number of hours and the cost of the pass. Do you use multiplication or division to find the new number of hours(2)?	To keep the problem the same, the operator must be the same for the number of hours worked and the money earned. Do you use multiplication or division to find the new number of hours(60)?	To keep the problem the same, the operator must be the same for the number of lollipops and the cost of the lollipops. Do you use multiplication or division to find the new number of lollipops(12)?	To keep the problem the same, the operator must be the same for the number of soda cans you buy and the cost of the soda cans. Did you use multiplication or division to find the new number of soda cans (24)?	To keep the problem the same, the operator must be the same for the size of Fruit-Oh boxes and the cost of the Fruit-Oh boxes. Do you use multiplication or division to find the new size of Fruit-Oh boxes(8 oz.)?	To keep the problem the same, the operator must be the same for the number of cookies and the cost of the cookies. Do you use multiplication or division to find the new number of cookies(12)?	To keep the problem the same, the operator must be the same for the number of gallons and the number of miles it gives. Did you use multiplication or division to find the new number of gallons (15)?	To keep the problem the same, the operator must be the same for the amount of macaroni and the cost of macaroni. Do you use multiplication or division to find the new amount of macaroni (48 oz.)?	To keep the problem the same, the operator must be the same for the area painted and the time required to paint. Do you use multiplication or division to find the new area painted (80 sq. feet)?
%(row2_2.operationCost1-Hint2)%	If you multiplied the number of tickets to get from the original number of tickets (20) to the new number of tickets (60), then you should multiply to get from the original cost of tickets ($25) to the new cost of tickets.	If you used division to get from the original number of months (12) to the new number of months (3), then you should use division to get from the original cost of the service ($180) to the new cost of the service.	If you used division to get from the original number of hours (10) to the new number of hours (2), then you should use division to get from the cost of the pass for 10 hours ($40) to the cost of the pass for 2 hours.	If you used multiplication to get from the original number of hours (15) to the new number of hours (60), then you should use multiplication to get from the money earned for 15 hours ($60) to the money earned for 60 hours.	If you used division to get from the original number of lollipops (60) to the new number of lollipops (12), then you should use division to get from the cost of 60 lollipops ($20) to the cost of 12 lollipops.	If you multiplied the number of soda cans to get from the original number of soda cans (6) to the new number of soda cans (24), then you should multiply to get from the original cost of soda cans ($2.40) to the new cost of soda cans.	If you used division to get from the original size of Fruit-Oh boxes (16 oz.) to the new size of Fruit-Oh boxes (8 oz.), then you should use division to get from the cost of a 16 oz. Fruit-Oh box ($2.40) to the cost of a 8 oz. Fruit-Oh box.	If you used division to get from the original number of cookies (36) to the new number of cookies (12), then you should use division to get from the cost of 36 cookies ($21.60) to the cost of 12 cookies.	If you divided the number of gallons to get from the original number of gallons (45) to the new number of gallons (15), then you should divide to get from the number of miles 45 gallons gives (90.9) to the number of miles 15 gallons gives.	If you used multiplication to get from the original amount of macaroni (16 oz.) to the new amount of macaroni (48 oz.), then you should use multiplication to get from the original cost of macaroni ($3.20) to the new cost of macaroni.	If you used multiplication to get from the original area painted (40 sq. feet) to the new area painted (80 sq. feet), then you should use multiplication to get from the time required to paint 40 sq. feet (28 mins) to the time required to paint 80 sq. feet.
%(row2_2.operationCost1-Hint3)%	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.
%(row2_2.operationCost1-WValue)%	/	*	*	/	*	/	*	*	*	/	/
%(row2_2.operationCost1-BugMsg)%	To keep the problem the same, the operator must be the same for the number of tickets you buy and the cost of the tickets. Look at the row labeled "Tickets" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of months and the cost of the service. Look at the row labeled "Months" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of hours and the cost of the pass. Look at the row labeled "Hours" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of hours worked and the money earned. Look at the row labeled "Hours" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of lollipops and their cost. Look at the row labeled "Lollipops" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of soda cans you buy and the cost of the soda cans. Look at the row labeled "Soda Cans" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the size of Fruit-Oh boxes and their cost. Look at the row labeled "Size(oz.)" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of cookies and their cost. Look at the row labeled "Cookies" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of gallons and the number of miles it gives. Look at the row labeled "Gallons" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the amount of macaroni and the cost of it. Look at the row labeled "Amount(oz.)" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the area painted and the time required to paint it. Look at the row labeled "Area(sq. feet)" to figure out the correct operator.
%(row2_2.multiplierDivisorCost1-RValue)%	3	4	5	4	5	4	2	3	3	3	2
%(row2_2.multiplierDivisorCost1-Hint1)%	To keep the problem the same, the multiplier must be the same for the number of tickets you buy and the cost of the tickets. What is the multiplier you used to get from the original number of tickets (20) to the new number of tickets (60)?	To keep the problem the same, the divisor must be the same for the number of months and the cost of the service. What is the divisor you used to get from the original number of months (12) to the new number of months (3)?	To keep the problem the same, the divisor must be the same for the number of hours and the cost of the pass. What is the divisor you used to get from the original number of hours (10) to the new number of hours(2)?	To keep the problem the same, the multiplier must be the same for the number of hours worked and the money earned. What is the multiplier you used to get from the original number of hours (15) to the new number of hours(60)?	To keep the problem the same, the divisor must be the same for the number of lollipops and their cost. What is the divisor you used to get from the original number of lollipops (60) to the new number of lollipops(12)?	To keep the problem the same, the multiplier must be the same for the number of soda cans you buy and the cost of the soda cans. What is the multiplier you used to get from the original number of soda cans (6) to the new number of soda cans (24)?	To keep the problem the same, the divisor must be the same for the size of Fruit-Oh boxes and their cost. What is the divisor you used to get from the original size of Fruit-Oh boxes (16 oz.) to the new size of Fruit-Oh boxes(8 oz.)?	To keep the problem the same, the divisor must be the same for the number of cookies and their cost. What is the divisor you used to get from the original number of cookies (36) to the new number of cookies(12)?	To keep the problem the same, the divisor must be the same for the number of gallons and the number of miles it gives. What is the divisor you used to get from the original number of gallons (45) to the new number of gallons (15)?	To keep the problem the same, the multiplier must be the same for the amount of macaroni and the cost of it. What is the multiplier you used to get from the original amount of macaroni (16 oz.) to the new amount of macaroni (48 oz.)?	To keep the problem the same, the multiplier must be the same for the area painted and the time required to paint it. What is the multiplier you used to get from the original area painted (40 sq. feet) to the new area painted (80 sq. feet)?
%(row2_2.multiplierDivisorCost1-Hint2)%	If you multiplied the number of tickets by 3 to get from the original number of tickets (20) to the new number of tickets (60), then you should multiply the original cost of tickets ($25) by 3 to get to the new cost of tickets.	If you divided the number of months by 4 to get from the original number of months (12) to the new number of months (3), then you should divide the original cost of service ($180) by 4 to get to the new cost of service.	If you divided the number of hours by 5 to get from the original number of hours (10) to the new number of hours (2), then you should divide the cost of the pass for 10 hours ($40) by 5 to get the cost of the pass for 2 hours.	If you multiplied the number of hours by 4 to get from the original number of hours (15) to the new number of hours (60), then you should multiply the money earned for 15 hours ($60) by 4 to get the money earned for 60 hours.	If you divided the number of lollipops by 5 to get from the original number of lollipops (60) to the new number of lollipops (12), then you should divide the cost of 60 lollipops ($20) by 5 to get the cost of 12 lollipops.	If you multiplied the number of soda cans by 4 to get from the original number of soda cans (6) to the new number of soda cans (24), then you should multiply the original cost of soda cans ($2.40) by 4 to get to the new cost of soda cans.	If you divided the size of Fruit-Oh boxes by 2 to get from the original size of Fruit-Oh boxes (16 oz.) to the new size of Fruit-Oh boxes (8 oz.), then you should divide the cost of a 16 oz. Fruit-Oh box ($2.40) by 2 to get the cost of a 8 oz. Fruit-Oh box.	If you divided the number of cookies by 3 to get from the original number of cookies (36) to the new number of cookies (12), then you should divide the cost of 36 cookies ($21.60) by 3 to get the cost of 12 cookies.	If you divided the number of gallons by 3 to get from the original number of gallons (45) to the new number of gallons (15), then you should divide the number of miles 45 gallons gives(90.9) by 3 to get to the number of miles 15 gallons gives.	If you multiplied the amount of macaroni by 3 to get from the original amount of macaroni (16 oz.) to the new amount of macaroni (48 oz.), then you should multiply the original cost of macaroni ($3.20) by 3 to get to the new cost of macaroni.	If you multiplied the area painted by 2 to get from the original area painted (40 sq. feet) to the new area painted (80 sq. feet), then you should multiply the time required to paint 40 sq. feet (28 mins) by 2 to get to the time required to paint 80 sq. feet.
%(row2_2.multiplierDivisorCost1-Hint3)%	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.
%(row2_2.multiplierDivisorCost1-BugMsg)%	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of tickets you buy and the cost of the tickets. Look at the row labeled "Tickets" to figure out the correct multiplier.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of months and the cost of the service. Look at the row labeled "Months" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of hours and the cost of the pass. Look at the row labeled "Hours" to figure out the correct divisor.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of hours worked and the money earned. Look at the row labeled "Hours" to figure out the correct multiplier.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of lollipops and their cost. Look at the row labeled "Lollipops" to figure out the correct divisor.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of soda cans you buy and the cost of the soda cans. Look at the row labeled "Soda Cans" to figure out the correct multiplier.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the size of Fruit-Oh boxes and their cost. Look at the row labeled "Size(oz.)" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of cookies and their cost. Look at the row labeled "Cookies" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of gallons and the number of miles it gives. Look at the row labeled "Gallons" to figure out the correct divisor.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the amount of macaroni and the cost of it. Look at the row labeled "Amount(oz.)" to figure out the correct multiplier.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the area painted and the time required to paint it. Look at the row labeled "Area(sq. feet)" to figure out the correct multiplier.
%(row2_2.totalCost1-RValue)%	75	45	8	240	4	9.60	1.20	7.20	30.3	9.60	56
%(row2_2.totalCost1-Hint1)%	The new cost of tickets under Option 2 is the original cost of tickets ($25) multiplied by the multiplier (3).	The new cost of the service for 3 months under Option 2 is the original cost of the service ($180) divided by the divisor (4)	The cost of the pass for 2 hours under Option 2 is the cost of the pass for 10 hours ($40) divided by the divisor (5).	The money earned for 60 hours under Option 2 is the money earned for 15 hours ($60) multiplied by the multiplier (4).	The cost of 12 lollipops under Option 2 is the cost of 60 lollipops ($20) divided by the divisor (5).	The new cost of soda cans under Option 2 is the original cost of soda cans ($2.40) multiplied by the multiplier (4).	The cost of an 8 oz. Fruit-Oh box under Option 2 is the cost of a 16 oz. Fruit-Oh box ($2.40) divided by the divisor (2).	The cost of 12 cookies under Option 2 is the cost of 36 cookies ($21.60) divided by the divisor (3).	The number of miles 15 gallons gives under Option 2 is the number of miles 45 gallons gives (90.9) divided by the divisor (3).	The cost of 48 oz. of macaroni under Option 2 is the cost of 16 oz. ($3.20) multiplied by the multiplier (3)	The time required to paint 80 sq. feet under Option 2 is the time required to paint 40 sq. feet (28 mins) multiplied by the multiplier (2)
%(row2_2.totalCost1-Hint2)%	The new cost of tickets under Option 2 equals 25*3 = 75.	The new cost of the service for 3 months under Option 2 equals 180/4 = 45.	The cost of the pass for 2 hours under Option 2 equals 40/5 = 8	The money earned for 60 hours under Option 2 equals 60*4 = 240	The cost of 12 lollipops under Option 2 equals 20/5 = 4	The new cost of soda cans under Option 2 equals 2.40*4 = 9.60.	The cost of an 8 oz. Fruit-Oh box under Option 2 equals 2.40/2 = 1.20	The cost of 12 cookies under Option 2 equals 21.60/3 =7.20	The number of miles 15 gallons gives under Option 2 equals 90.9/3 =30.3.	The cost of 48 oz. of macaroni under Option 2 equals 3.20*3 = 9.60.	The time required to paint 80 sq. feet under Option 2 equals 28*2 = 56.
%(row2_2.totalCost1-Hint3)%	Please enter '75' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '240' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '9.60' in the highlighted field.	Please enter '1.20' in the highlighted field.	Please enter '7.20' in the highlighted field.	Please enter '30.3' in the highlighted field.	Please enter '9.60' in the highlighted field.	Please enter '56' in the highlighted field.
%(row2_2.totalCost1-BugMsg)%	25*3 does not equal <%=input%>	180/4 does not equal <%=input%>	40/5 does not equal <%=input%>	60*4 does not equal <%=input%>	20/5 does not equal <%=input%>	2.40*4 does not equal <%=input%>	2.40/2 does not equal <%=input%>	21.60/3 does not equal <%=input%>	90.9/3 does not equal <%=input%>	3.20*3 does not equal <%=input%>	28*2 does not equal <%=input%>
%(secondMid2-RValue)%	75	45	8	240	4	9.60	1.20	7.20	30.3	9.60	56
%(secondMid2-Hint1)%	Under Option 2, you have worked out what the cost of 60 tickets will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the cost of service for 3 months will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the cost of the pass for 2 hours will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the money earned for 60 hours of work will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the cost of 12 lollipops will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the cost of 24 soda cans will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the cost of an 8 oz. Fruit-Oh box will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the cost of 12 cookies will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the number of miles 15 gallons will give is. Enter that value in the highlighted field.	Under Option 2, you have worked out what the cost of 48 oz. of macaroni will be. Enter that value in the highlighted field.	Under Option 2, you have worked out what the time required to paint 80 sq. feet is. Enter that value in the highlighted field.
%(secondMid2-Hint2)%	You have already worked out that under Option 2 when the number of tickets you buy is 60, the cost of the tickets is $75. Enter '75' in the highlighted field.	You have already worked out that under Option 2 the cost of service for 3 months is $45. Enter '45' in the highlighted field.	You have already worked out that under Option 2 the cost of the pass for 2 hours is $8. Enter '8' in the highlighted field.	You have already worked out that under Option 2 the money earned for 60 hours is $240. Enter '240' in the highlighted field.	You have already worked out that under Option 2 the cost of 12 lollipops is $4. Enter '4' in the highlighted field.	You have already worked out that under Option 2 when the number of soda cans you buy is 24, the cost of the soda cans is $9.60. Enter '9.60' in the highlighted field.	You have already worked out that under Option 2 the cost of an 8 oz. Fruit-Oh box is $1.20. Enter '1.20' in the highlighted field.	You have already worked out that under Option 2 the cost of 12 cookies is $7.20. Enter '7.20' in the highlighted field.	You have already worked out that under Option 2 when the number of gallons is 15, the number of miles it gives is 30.3. Enter '30.3' in the highlighted field.	You have already worked out that under Option 2 the cost of 48 oz. of macaroni $9.60. Enter '9.60' in the highlighted field.	You have already worked out that under Option 2 the time required to paint 80 sq. feet is 56 minutes. Enter '56' in the highlighted field.
%(secondMid2-BugMsg)%	<%=input%> is not the correct cost of 60 tickets. Look at the row labeled "Cost" in your working to figure out what the cost of 60 tickets will be.	<%=input%> is not the correct cost of service for 3 months. Look at the row labeled "Cost" in your working to figure out what the cost of service for 3 months will be.	<%=input%> is not the correct cost of the pass for 2 hours. Look at the row labeled "Cost" in your working to figure out what the cost of the pass for 2 hours will be.	<%=input%> is not the correct amount of money earned for 60 hours of work. Look at the row labeled "Earnings" in your working to figure out what the money earned for 60 hours of work will be.	<%=input%> is not the correct cost of 12 lollipops. Look at the row labeled "Cost" in your working to figure out what the cost of 12 lollipops will be.	<%=input%> is not the correct cost of 24 soda cans. Look at the row labeled "Cost" in your working to figure out what the cost of 24 soda cans will be.	<%=input%> is not the correct cost of an 8 oz. Fruit-Oh box. Look at the row labeled "Cost" in your working to figure out what the cost of an 8 oz. Fruit-Oh box will be.	<%=input%> is not the correct cost of 12 cookies. Look at the row labeled "Cost" in your working to figure out what the cost of 12 cookies will be.	<%=input%> is not the correct number of miles 15 gallons gives. Look at the row labeled "Miles" in your working to figure out what the mileage of 15 gallons will be.	<%=input%> is not the correct cost of 48 oz. of macaroni. Look at the row labeled "Cost" in your working to figure out what the cost of 48 oz. of macaroni will be.	<%=input%> is not the correct time required to paint 80 sq. feet. Look at the row labeled "Time" in your working to figure out what the time required to paint 80 sq. feet will be.
%(nextButton2_2-Hint1)%	The current "Show Your Work Area" in Option 2 displays the worksheet for 60 tickets. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 3 months. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 2 hours. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 60 hours. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 12 lollipops. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 24 soda cans. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for an 8 oz Fruit-Oh box. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 12 cookies. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 15 gallons. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 48 oz of macaroni. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 2 displays the worksheet for 80 sq. feet. Please Click on the ">>" Button to get to the worksheet for the next problem.
%(nextButton2_2-Hint2)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(row3_2.operationTickets1-RValue)%	/	/	*	*	/	*	*	/	/	/	/
%(row3_2.operationTickets1-Hint1)%	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?
%(row3_2.operationTickets1-Hint2)%	Do you need to multiply or divide to get from the original number of tickets (20) to the new number of tickets (4)?	Do you need to multiply or divide to get from the original number of months (12) to the new number of months (6)?	Do you need to multiply or divide to get from the original number of hours (10) to the new number of hours (30)?	Do you need to multiply or divide to get from the original number of hours (15) to the new number of hours (120)?	Do you need to multiply or divide to get from the original number of lollipops (60) to the new number of lollipops (3)?	Do you need to multiply or divide to get from the original number of soda cans (6) to the new number of soda cans (12)?	Do you need to multiply or divide to get from the original size of the Fruit-Oh box (16 oz) to the new size of the Fruit-Oh box (48 oz.)?	Do you need to multiply or divide to get from the original number of cookies (36) to the new number of cookies (4)?	Do you need to multiply or divide to get from the original number of gallons (45) to the new number of gallons (5)?	Do you need to multiply or divide to get from the original amount of macaroni (16 oz) to the new amount of macaroni (4 oz.)?	Do you need to multiply or divide to get from the original area painted (40 sq. feet) to the new area painted (4 sq. feet)?
%(row3_2.operationTickets1-Hint3)%	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.
%(row3_2.operationTickets1-WValue)%	*	*	/	/	*	/	/	*	*	*	*
%(row3_2.operationTickets1-BugMsg)%	4 is less than 20, so you can not use multiplication to get from the original number of tickets (20) to the new number of tickets(4).	6 is less than 12, so you can not use multiplication to get from the original number of months (12) to the new number of months(6).	30 is greater than 10, so you can not use division to get from the original number of hours (10) to the new number of hours(30).	120 is greater than 15, so you can not use division to get from the original number of hours (15) to the new number of hours(120).	3 is less than 60, so you can not use multiplication to get from the original number of lollipops (60) to the new number of lollipops(3).	12 is greater than 6, so you can not use division to get from the original number of soda cans (6) to the new number of soda cans(12).	48 is greater than 16, so you can not use division to get from the original size of the Fruit-Oh box (16 oz.) to the new size of the Fruit-Oh box(48 oz.).	4 is less than 36, so you can not use multiplication to get from the original number of cookies (36) to the new number of cookies(4).	5 is less than 45, so you can not use multiplication to get from the original number of gallons (45) to the new number of gallons(5).	4 is less than 16, so you can not use multiplication to get from the original amount of macaroni (16 oz.) to the new amount of macaroni(4 oz.).	4 is less than 40, so you can not use multiplication to get from the original area painted (40 sq. feet) to the new area painted(4 sq. feet).
%(row3_2.multiplierDivisorTickets1-RValue)%	5	2	3	8	20	2	3	9	9	4	10
%(row3_2.multiplierDivisorTickets1-Hint1)%	How do you get from the original number of tickets (20) to the new number of tickets (4)? What do you divide by?	How do you get from the original number of months (12) to the new number of months (6)? What do you divide by?	How do you get from the original number of hours (10) to the new number of hours (30)? What do you multiply by?	How do you get from the original number of hours (15) to the new number of hours (120)? What do you multiply by?	How do you get from the original number of lollipops (60) to the new number of lollipops (3)? What do you divide by?	How do you get from the original number of soda cans (6) to the new number of soda cans (12)? What do you multiply by?	How do you get from the original size of the Fruit-Oh box (16 oz.) to the new size of the Fruit-Oh box (48 oz.)? What do you multiply by?	How do you get from the original number of cookies (36) to the new number of cookies (4)? What do you divide by?	How do you get from the original number of gallons (45) to the new number of gallons (5)? What do you divide by?	How do you get from the original amount of macaroni (16 oz.) to the new amount of macaroni (4 oz.)? What do you divide by?	How do you get from the original area painted (40 sq. feet) to the new area painted (4 sq. feet)? What do you divide by?
%(row3_2.multiplierDivisorTickets1-Hint2)%	You can use multiplication to help you find the divisor. What can you multiply by 4 to get 20?	You can use multiplication to help you find the divisor. What can you multiply by 6 to get 12?	You can use division to help you find the multiplier. The answer to 30/10 will be the multiplier.	You can use division to help you find the multiplier. The answer to 120/15 will be the multiplier.	You can use multiplication to help you find the divisor. What can you multiply by 3 to get 60?	You can use division to help you find the multiplier. The answer to 12/6 will be the multiplier.	You can use division to help you find the multiplier. The answer to 48/16 will be the multiplier.	You can use multiplication to help you find the divisor. What can you multiply by 4 to get 36?	You can use multiplication to help you find the divisor. What can you multiply by 5 to get 45?	You can use multiplication to help you find the divisor. What can you multiply by 4 to get 16?	You can use multiplication to help you find the divisor. What can you multiply by 4 to get 40?
%(row3_2.multiplierDivisorTickets1-Hint3)%	4*5 = 20, so 20/5 = 4. Your divisor will therefore be 5.	6*2 =12, so 12/2 = 6. Your divisor will therefore be 2.	30/10 = 3, so 10*3 = 30. Your multiplier will therefore be 3.	120/15=8, so 15*8 = 120. Your multiplier will therefore be 8.	3*20=60, so 60/20 = 3. Your divisor will therefore be 20.	12/6 = 2, so 6*2 = 12. Your multiplier will therefore be 2.	48/16 = 3, so 16*3 = 48. Your multiplier will therefore be 3.	4*9=36, so 36/9 = 4. Your divisor will therefore be 9.	5*9 = 45, so 45/9 = 5. Your divisor will therefore be 9.	4*4 = 16, so 16/4 = 4. Your divisor will therefore be 4.	4*10 = 40, so 40/10 = 4. Your divisor will therefore be 10.
%(row3_2.multiplierDivisorTickets1-Hint4)%	Please enter '5' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '10' in the highlighted field.
%(row3_2.multiplierDivisorTickets1-BugMsg)%	20/<%=input%> does not equal 4	12/<%=input%> does not equal 6	10*<%=input%> does not equal 30	15*<%=input%> does not equal 120	60/<%=input%> does not equal 3	6*<%=input%> does not equal 12	16*<%=input%> does not equal 48	36/<%=input%> does not equal 4	45/<%=input%> does not equal 5	16/<%=input%> does not equal 4	40/<%=input%> does not equal 4
%(row3_2.operationCost1-RValue)%	/	/	*	*	/	*	*	/	/	/	/
